"타임스탬프","1. 귀하는 학생입니까?","1-1. 학생이라면 월 근로소득이 있습니까?","2. 월 근로소득이 얼마나 됩니까?","3. 한달에 지출이 얼마입니까?","4. 귀하는 자기 명의로 된 신용카드가 있습니까?","4-1. 신용카드가 있다면 한달에 얼마씁니까?","4-2. 없다면 이유는 무엇입니까?","5. 귀하는 대출을 받은 적 있습니까?","5-1. 있다면 어떤 대출을 받았습니까?","5-2. 없다면 이유는 무엇입니까?","6. 귀하는 MZ세대(금융 소외계층) 맞춤형 금융 상품이 있다면 사용하실 의향이 있습니까?"
"2021/11/03 11:30:52 오후 GMT+9","예 (1-1번으로 이동)","예","50만원 이하","50만원 이하","아니오 (4-2번으로 이동)","","조건 부족","예 (5-1번으로 이동)","학자금 대출;전월세 대출;생활비 대출","조건 부족","예"
"2021/11/03 11:31:24 오후 GMT+9","예 (1-1번으로 이동)","예","50만원 이하","50만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/03 11:33:41 오후 GMT+9","예 (1-1번으로 이동)","예","50만원 이하","50만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/03 11:38:35 오후 GMT+9","아니오 (2번으로 이동)","","200만원 초과","100만원 이하","예 (4-1번으로 이동)","50만원 이하","","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/03 11:38:53 오후 GMT+9","아니오 (2번으로 이동)","","200만원 초과","100만원 이하","아니오 (4-2번으로 이동)","","과소비","예 (5-1번으로 이동)","학자금 대출","","아니오"
"2021/11/03 11:38:57 오후 GMT+9","아니오 (2번으로 이동)","","200만원 초과","200만원 초과","예 (4-1번으로 이동)","200만원 초과","","예 (5-1번으로 이동)","전월세 대출;신용 대출","","예"
"2021/11/03 11:39:07 오후 GMT+9","예 (1-1번으로 이동)","예","100만원 이하","200만원 이하","예 (4-1번으로 이동)","200만원 이하","","예 (5-1번으로 이동)","전월세 대출","","아니오"
"2021/11/03 11:40:48 오후 GMT+9","예 (1-1번으로 이동)","아니오","30만원 이하","100만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/03 11:40:51 오후 GMT+9","예 (1-1번으로 이동)","예","100만원 이하","200만원 이하","아니오 (4-2번으로 이동)","","","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/03 11:41:20 오후 GMT+9","예 (1-1번으로 이동)","아니오","100만원 이하","30만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","아니오"
"2021/11/03 11:41:33 오후 GMT+9","아니오 (2번으로 이동)","","100만원 이하","100만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","아니오"
"2021/11/03 11:42:07 오후 GMT+9","예 (1-1번으로 이동)","예","100만원 이하","100만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/03 11:42:12 오후 GMT+9","예 (1-1번으로 이동)","예","50만원 이하","100만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/03 11:42:27 오후 GMT+9","아니오 (2번으로 이동)","","200만원 초과","100만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","예 (5-1번으로 이동)","전월세 대출","","아니오"
"2021/11/03 11:42:48 오후 GMT+9","예 (1-1번으로 이동)","아니오","30만원 이하","50만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","아니오"
"2021/11/03 11:42:50 오후 GMT+9","예 (1-1번으로 이동)","아니오","30만원 이하","100만원 이하","아니오 (4-2번으로 이동)","","일정소득이없어서","아니오 (5-2번으로 이동)","","필요하지 않아서","아니오"
"2021/11/03 11:43:13 오후 GMT+9","예 (1-1번으로 이동)","아니오","30만원 이하","100만원 이하","예 (4-1번으로 이동)","30만원 이하","","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/03 11:44:04 오후 GMT+9","예 (1-1번으로 이동)","아니오","30만원 이하","50만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","예 (5-1번으로 이동)","학자금 대출","","아니오"
"2021/11/03 11:44:29 오후 GMT+9","예 (1-1번으로 이동)","예","100만원 이하","50만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","아니오"
"2021/11/03 11:44:48 오후 GMT+9","예 (1-1번으로 이동)","아니오","30만원 이하","100만원 이하","아니오 (4-2번으로 이동)","30만원 이하","조건 부족","예 (5-1번으로 이동)","학자금 대출","","예"
"2021/11/03 11:44:52 오후 GMT+9","예 (1-1번으로 이동)","아니오","30만원 이하","200만원 이하","예 (4-1번으로 이동)","200만원 이하","","예 (5-1번으로 이동)","학자금 대출;전월세 대출","","아니오"
"2021/11/03 11:45:01 오후 GMT+9","예 (1-1번으로 이동)","예","30만원 이하","100만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","아니오"
"2021/11/03 11:45:21 오후 GMT+9","예 (1-1번으로 이동)","예","200만원 이하","200만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","가족이나 지인에게 빌림","예"
"2021/11/03 11:45:29 오후 GMT+9","예 (1-1번으로 이동)","아니오","30만원 이하","50만원 이하","예 (4-1번으로 이동)","30만원 이하","","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/03 11:45:30 오후 GMT+9","아니오 (2번으로 이동)","아니오","200만원 초과","200만원 이하","예 (4-1번으로 이동)","30만원 이하","","아니오 (5-2번으로 이동)","","필요하지 않아서","아니오"
"2021/11/03 11:45:33 오후 GMT+9","아니오 (2번으로 이동)","","200만원 초과","200만원 이하","예 (4-1번으로 이동)","200만원 이하","","예 (5-1번으로 이동)","학자금 대출;전월세 대출;생활비 대출","","예"
"2021/11/03 11:45:37 오후 GMT+9","예 (1-1번으로 이동)","아니오","30만원 이하","50만원 이하","아니오 (4-2번으로 이동)","","","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/03 11:45:41 오후 GMT+9","예 (1-1번으로 이동)","아니오","30만원 이하","50만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/03 11:45:47 오후 GMT+9","예 (1-1번으로 이동)","아니오","30만원 이하","50만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/03 11:45:49 오후 GMT+9","예 (1-1번으로 이동)","예","50만원 이하","100만원 이하","예 (4-1번으로 이동)","100만원 이하","과소비","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/03 11:46:22 오후 GMT+9","예 (1-1번으로 이동)","아니오","30만원 이하","100만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","아니오"
"2021/11/03 11:47:11 오후 GMT+9","아니오 (2번으로 이동)","","200만원 초과","200만원 이하","예 (4-1번으로 이동)","100만원 이하","","예 (5-1번으로 이동)","학자금 대출","","아니오"
"2021/11/03 11:47:15 오후 GMT+9","예 (1-1번으로 이동)","아니오","50만원 이하","50만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","아니오"
"2021/11/03 11:47:41 오후 GMT+9","예 (1-1번으로 이동)","아니오","30만원 이하","30만원 이하","아니오 (4-2번으로 이동)","","조건 부족","아니오 (5-2번으로 이동)","","필요하지 않아서","아니오"
"2021/11/03 11:47:55 오후 GMT+9","아니오 (2번으로 이동)","아니오","200만원 이하","100만원 이하","예 (4-1번으로 이동)","50만원 이하","","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/03 11:48:14 오후 GMT+9","예 (1-1번으로 이동)","아니오","30만원 이하","50만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/03 11:48:26 오후 GMT+9","예 (1-1번으로 이동)","예","50만원 이하","50만원 이하","아니오 (4-2번으로 이동)","","과소비","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/03 11:49:22 오후 GMT+9","예 (1-1번으로 이동)","아니오","30만원 이하","50만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/03 11:50:40 오후 GMT+9","아니오 (2번으로 이동)","","200만원 초과","200만원 이하","예 (4-1번으로 이동)","100만원 이하","","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/03 11:50:48 오후 GMT+9","예 (1-1번으로 이동)","예","100만원 이하","100만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","예 (5-1번으로 이동)","전월세 대출","","예"
"2021/11/03 11:51:11 오후 GMT+9","예 (1-1번으로 이동)","아니오","100만원 이하","200만원 이하","예 (4-1번으로 이동)","100만원 이하","","아니오 (5-2번으로 이동)","","","아니오"
"2021/11/03 11:51:22 오후 GMT+9","아니오 (2번으로 이동)","","200만원 초과","200만원 이하","예 (4-1번으로 이동)","100만원 이하","","아니오 (5-2번으로 이동)","","필요하지 않아서","아니오"
"2021/11/03 11:53:03 오후 GMT+9","예 (1-1번으로 이동)","예","100만원 이하","50만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/03 11:53:09 오후 GMT+9","예 (1-1번으로 이동)","예","100만원 이하","100만원 이하","아니오 (4-2번으로 이동)","","","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/03 11:53:17 오후 GMT+9","예 (1-1번으로 이동)","예","50만원 이하","100만원 이하","아니오 (4-2번으로 이동)","","과소비","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/03 11:54:49 오후 GMT+9","예 (1-1번으로 이동)","예","50만원 이하","100만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/03 11:55:17 오후 GMT+9","아니오 (2번으로 이동)","아니오","200만원 초과","200만원 이하","예 (4-1번으로 이동)","200만원 이하","","예 (5-1번으로 이동)","전월세 대출","","예"
"2021/11/03 11:56:17 오후 GMT+9","예 (1-1번으로 이동)","예","100만원 이하","100만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/03 11:56:53 오후 GMT+9","아니오 (2번으로 이동)","","30만원 이하","100만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/03 11:57:49 오후 GMT+9","아니오 (2번으로 이동)","","200만원 초과","100만원 이하","예 (4-1번으로 이동)","30만원 이하","","아니오 (5-2번으로 이동)","","필요하지 않아서","아니오"
"2021/11/03 11:59:05 오후 GMT+9","아니오 (2번으로 이동)","","200만원 초과","100만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/04 12:00:32 오전 GMT+9","예 (1-1번으로 이동)","예","100만원 이하","50만원 이하","예 (4-1번으로 이동)","30만원 이하","","예 (5-1번으로 이동)","생활비 대출","","예"
"2021/11/04 12:00:50 오전 GMT+9","예 (1-1번으로 이동)","예","100만원 이하","100만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","예 (5-1번으로 이동)","생활비 대출","","예"
"2021/11/04 12:01:07 오전 GMT+9","아니오 (2번으로 이동)","","200만원 초과","100만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","예 (5-1번으로 이동)","보증금대출","","아니오"
"2021/11/04 12:03:38 오전 GMT+9","예 (1-1번으로 이동)","아니오","30만원 이하","50만원 이하","아니오 (4-2번으로 이동)","","조건 부족","아니오 (5-2번으로 이동)","","필요하지 않아서","아니오"
"2021/11/04 12:08:48 오전 GMT+9","예 (1-1번으로 이동)","예","100만원 이하","50만원 이하","아니오 (4-2번으로 이동)","","과소비","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/04 12:10:04 오전 GMT+9","예 (1-1번으로 이동)","아니오","30만원 이하","30만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","아니오"
"2021/11/04 12:11:01 오전 GMT+9","예 (1-1번으로 이동)","예","100만원 이하","50만원 이하","예 (4-1번으로 이동)","30만원 이하","","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/04 12:12:23 오전 GMT+9","아니오 (2번으로 이동)","아니오","200만원 초과","200만원 이하","예 (4-1번으로 이동)","100만원 이하","","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/04 12:13:25 오전 GMT+9","예 (1-1번으로 이동)","아니오","30만원 이하","100만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","예 (5-1번으로 이동)","전월세 대출","","예"
"2021/11/04 12:18:59 오전 GMT+9","아니오 (2번으로 이동)","","200만원 초과","200만원 이하","예 (4-1번으로 이동)","200만원 이하","","예 (5-1번으로 이동)","전월세 대출","","예"
"2021/11/04 12:25:05 오전 GMT+9","예 (1-1번으로 이동)","예","200만원 이하","100만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","아니오"
"2021/11/04 12:27:38 오전 GMT+9","아니오 (2번으로 이동)","","200만원 초과","100만원 이하","예 (4-1번으로 이동)","50만원 이하","","아니오 (5-2번으로 이동)","","","아니오"
"2021/11/04 12:40:55 오전 GMT+9","예 (1-1번으로 이동)","예","50만원 이하","30만원 이하","예 (4-1번으로 이동)","30만원 이하","","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/04 12:42:38 오전 GMT+9","예 (1-1번으로 이동)","예","100만원 이하","100만원 이하","아니오 (4-2번으로 이동)","","과소비","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/04 12:43:05 오전 GMT+9","예 (1-1번으로 이동)","예","50만원 이하","50만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","예 (5-1번으로 이동)","학자금 대출","","예"
"2021/11/04 12:45:24 오전 GMT+9","예 (1-1번으로 이동)","아니오","30만원 이하","100만원 이하","아니오 (4-2번으로 이동)","30만원 이하","조건 부족","예 (5-1번으로 이동)","전월세 대출","","예"
"2021/11/04 12:48:39 오전 GMT+9","예 (1-1번으로 이동)","아니오","30만원 이하","30만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/04 12:52:28 오전 GMT+9","예 (1-1번으로 이동)","아니오","30만원 이하","100만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/04 12:54:07 오전 GMT+9","예 (1-1번으로 이동)","예","30만원 이하","50만원 이하","아니오 (4-2번으로 이동)","50만원 이하","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/04 12:55:15 오전 GMT+9","예 (1-1번으로 이동)","예","30만원 이하","100만원 이하","아니오 (4-2번으로 이동)","","조건 부족","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/04 1:00:34 오전 GMT+9","예 (1-1번으로 이동)","아니오","30만원 이하","50만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/04 1:07:19 오전 GMT+9","예 (1-1번으로 이동)","아니오","30만원 이하","100만원 이하","예 (4-1번으로 이동)","50만원 이하","","아니오 (5-2번으로 이동)","","필요하지 않아서","아니오"
"2021/11/04 1:09:32 오전 GMT+9","예 (1-1번으로 이동)","예","100만원 이하","100만원 이하","아니오 (4-2번으로 이동)","","과소비","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/04 1:10:08 오전 GMT+9","예 (1-1번으로 이동)","예","50만원 이하","50만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/04 1:25:47 오전 GMT+9","예 (1-1번으로 이동)","아니오","30만원 이하","50만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/04 2:31:39 오전 GMT+9","예 (1-1번으로 이동)","아니오","30만원 이하","100만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/04 2:35:21 오전 GMT+9","예 (1-1번으로 이동)","아니오","30만원 이하","100만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","아니오"
"2021/11/04 5:40:56 오전 GMT+9","예 (1-1번으로 이동)","예","200만원 이하","50만원 이하","예 (4-1번으로 이동)","50만원 이하","","예 (5-1번으로 이동)","학자금 대출;생활비 대출","","예"
"2021/11/04 7:32:22 오전 GMT+9","예 (1-1번으로 이동)","예","200만원 이하","100만원 이하","아니오 (4-2번으로 이동)","","조건 부족","예 (5-1번으로 이동)","중소기업청년대출","","예"
"2021/11/04 8:17:07 오전 GMT+9","아니오 (2번으로 이동)","","200만원 초과","200만원 이하","예 (4-1번으로 이동)","100만원 이하","","예 (5-1번으로 이동)","전월세 대출","","예"
"2021/11/04 9:40:47 오전 GMT+9","예 (1-1번으로 이동)","예","50만원 이하","30만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/04 10:02:48 오전 GMT+9","예 (1-1번으로 이동)","예","50만원 이하","100만원 이하","아니오 (4-2번으로 이동)","","조건 부족","예 (5-1번으로 이동)","학자금 대출","","예"
"2021/11/04 10:23:25 오전 GMT+9","예 (1-1번으로 이동)","예","100만원 이하","100만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","예 (5-1번으로 이동)","학자금 대출","","예"
"2021/11/04 10:33:13 오전 GMT+9","아니오 (2번으로 이동)","","200만원 초과","200만원 이하","예 (4-1번으로 이동)","50만원 이하","","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/04 10:39:56 오전 GMT+9","예 (1-1번으로 이동)","아니오","30만원 이하","50만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","아니오"
"2021/11/04 10:49:09 오전 GMT+9","예 (1-1번으로 이동)","예","200만원 초과","200만원 이하","아니오 (4-2번으로 이동)","","조건 부족","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/04 10:51:25 오전 GMT+9","예 (1-1번으로 이동)","아니오","30만원 이하","30만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/04 11:16:00 오전 GMT+9","예 (1-1번으로 이동)","예","50만원 이하","200만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/04 11:32:01 오전 GMT+9","예 (1-1번으로 이동)","예","100만원 이하","200만원 이하","아니오 (4-2번으로 이동)","","과소비","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/04 11:41:25 오전 GMT+9","예 (1-1번으로 이동)","아니오","30만원 이하","200만원 이하","아니오 (4-2번으로 이동)","","과소비","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/04 12:52:59 오후 GMT+9","예 (1-1번으로 이동)","아니오","30만원 이하","50만원 이하","아니오 (4-2번으로 이동)","","조건 부족","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/04 2:55:02 오후 GMT+9","예 (1-1번으로 이동)","아니오","30만원 이하","50만원 이하","아니오 (4-2번으로 이동)","","조건 부족","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/04 2:56:38 오후 GMT+9","예 (1-1번으로 이동)","예","50만원 이하","50만원 이하","아니오 (4-2번으로 이동)","","조건 부족","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/04 3:01:44 오후 GMT+9","예 (1-1번으로 이동)","예","50만원 이하","30만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","아니오"
"2021/11/04 3:43:15 오후 GMT+9","예 (1-1번으로 이동)","예","100만원 이하","50만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/04 5:39:30 오후 GMT+9","예 (1-1번으로 이동)","아니오","30만원 이하","30만원 이하","아니오 (4-2번으로 이동)","","과소비","아니오 (5-2번으로 이동)","","필요하지 않아서","아니오"